,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
10666,2019-00020382,04/10/19 19:00,04/11/19 08:53,Damage to State Property,CBE,1300 block of  Peach Tree Rd
10667,2019-00020421,01/01/18,04/11/19 14:27,Suspicious Activity,CBE,Service Building at 7757  Baltimore  Ave
10668,2019-00020440,04/10/19 22:20,04/11/19 16:57,Theft,Unfounded,"Chemistry, Chemistry Building at 8051  Regents  Dr"
10669,2019-00020497,04/11/19 21:45,04/11/19 21:49,CDS Violation,Arrest,University  Blvd
10670,2019-00020502,04/11/19 22:16,04/11/19 22:16,DWI/DUI,Arrest,University  Blvd
10671,2019-00020556,04/12/19 01:30,04/12/19 01:30,CDS Violation,Arrest,Baltimore  Ave
10672,2019-00020560,04/12/19 01:46,04/12/19 01:46,DWI/DUI,Arrest,"Plant Operations & Maintenance Shops, WeWork at 7761  Diamondback  Dr"
10673,2019-00020654,04/11/19 09:00,04/12/19 14:10,Suspicious Activity (Title IX Related),CBE,"Hornbake, Hornbake Library at 4130  Campus  Dr"
10674,2019-00020729,04/12/19 21:10,04/12/19 21:10,Injured/Sick Person,CBE,"Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
10675,2019-00020746,04/12/19 07:20,04/12/19 22:12,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
10676,2019-00020810,04/13/19 01:39,04/13/19 01:34,Injured/Sick Person,CBE,"Wicomico, Wicomico Hall at 7218  Preinkert  Dr"
10677,2019-00020815,04/13/19 02:01,04/13/19 02:01,DWI/DUI,Arrest,Pocomoke at 7569  Baltimore  Ave
10678,2019-00020816,04/13/19 02:08,04/13/19 02:08,DWI/DUI,Arrest,Baltimore  Ave
10679,2019-00020818,04/13/19 02:21,04/13/19 02:21,Injured/Sick Person,CBE,"Leonardtown #239, Leonardtown at 4610  Norwich  Rd"
10680,2019-00020837,04/13/19 04:59,04/13/19 04:59,DWI/DUI,Arrest,Baltimore  Ave
10681,2019-00020846,04/13/19 07:22,04/13/19 07:22,Trespassing,CBE,4700 block of  Pontiac  St
10682,2019-00020873,04/13/19 11:00,04/13/19 11:45,Injured/Sick Person,CBE,4300 block of  Rowalt  Dr
10683,2019-00020933,04/13/19 18:58,04/13/19 18:58,CDS Violation,Arrest,Baltimore  Ave
10684,2019-00020952,04/13/19 21:44,04/13/19 21:44,Burglary,Arrest,Artemesia Building at 8400  Baltimore  Ave
10685,2019-00020955,04/13/19 07:30,04/13/19 21:59,Damage to State Property,CBE,3900 block of  Campus  Dr
10686,2019-00020956,04/13/19 22:20,04/13/19 22:21,Injured/Sick Person,CBE,"Armory, Reckord Armory at 4490  Rossborough  Ln"
10687,2019-00020993,04/14/19 00:16,04/14/19 00:16,Injured/Sick Person,CBE,4400 block of  Knox  Rd
10688,2019-00021000,04/14/19,04/14/19 00:30,CDS Violation,Arrest,Baltimore  Ave
10689,2019-00021006,04/14/19 00:53,04/14/19 00:54,Injured/Sick Person,CBE,"Armory, Reckord Armory at 4490  Rossborough  Ln"
10690,2019-00021012,04/14/19 01:03,04/14/19 01:03,Injured/Sick Person,CBE,7400 block of  Calvert Service  Ln
10691,2019-00021031,04/14/19 01:58,04/14/19 01:58,Alcohol Violation,Arrest,"Cambridge, Cambridge Hall at 4230  Farm  Dr"
10692,2019-00021047,04/14/19 03:00,04/14/19 03:51,Injured/Sick Person,CBE,Queen Anne at 7645  Preinkert  Dr
10693,2019-00021129,04/13/19 22:00,04/14/19 15:40,Vandalism,Investigation Pending,4000 block of  Stadium  Dr
10694,2019-00021131,04/13/19 02:10,04/14/19 16:40,Assault,CBE,Alpha Epsilon Phi at 11  Fraternity  Row
10695,2019-00021274,04/12/19 16:00,04/15/19 09:48,Vandalism,Active/Pending,"Symons, Symons Hall at 7998  Regents  Dr"
10696,2019-00021397,04/15/19 18:24,04/15/19 18:24,CDS Violation,Arrest,Campus  Dr
10697,2019-00021471,04/16/19 00:18,04/16/19 00:18,CDS Violation,Arrest,Chapel  Ln
10698,2019-00021496,04/16/19 01:53,04/16/19 01:53,DWI/DUI,Arrest,Baltimore  Ave
10699,2019-00021502,04/16/19 02:18,04/16/19 02:18,Emergency Petition,CBE,4000 block of  Stadium  Dr
10700,2019-00021546,04/11/19 12:00,04/16/19 08:36,Theft,Investigation Pending,5000 block of  College  Ave
10701,2019-00021563,04/13/19 17:30,04/16/19 10:59,Theft,Investigation Pending,"Leonardtown #239, Leonardtown at 4610  Norwich  Rd"
10702,2019-00021569,04/15/19 15:00,04/16/19 12:16,Burglary,Investigation Pending,"Atlantic Building, Computer & Space Sciences Building at 4254  Stadium  Dr"
10703,2019-00021645,04/15/19 19:00,04/16/19 20:43,Stolen Motor Vehicle,Active/Pending,7500 block of  Mowatt  Ln
10704,2019-00021647,04/16/19 19:00,04/16/19 20:46,Theft,Investigation Pending,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
10705,2019-00021667,04/16/19 22:08,04/16/19 22:08,Injured/Sick Person,CBE,"Chestertown, Chestertown Hall at 4201  Valley  Dr"
10706,2019-00021701,04/16/19 23:27,04/16/19 23:27,CDS Violation,Arrest,Lot 2b
10707,2019-00021715,04/17/19 00:22,04/17/19 00:22,CDS Violation,Arrest,Greenbelt  Rd
10708,2019-00021739,04/17/19 01:52,04/17/19 01:52,DWI/DUI,Arrest,Baltimore  Ave
10709,2019-00021803,04/16/19 13:35,04/17/19 09:50,Other Incident,CBE,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999  Regents  Dr"
10710,2019-00021816,04/17/19 10:49,04/17/19 10:49,Hate Bias Incident,Investigation Pending,"Armory, Reckord Armory at 4490  Rossborough  Ln"
10711,2019-00021823,04/17/19 11:30,04/17/19 11:30,Other Incident,CBE,Somerset at 7567  Preinkert  Dr
10712,2019-00021827,04/17/19 10:40,04/17/19 12:31,Theft,Arrest,4100 block of  Campus  Dr
10713,2019-00021834,04/17/19 14:05,04/17/19 14:05,Injured/Sick Person,CBE,"John S. Toll Physics Building, Physics, Physics Building at 4150  Campus  Dr"
10714,2019-00021843,04/16/19 16:13,04/17/19 14:47,Other Incident,CBE,"Main Admin, Main Administration, Main Administration Building at 7901  Regents  Dr"
10715,2019-00021870,04/08/19 12:00,04/17/19 17:25,Fraud,CBE,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
10716,2019-00021904,04/17/19 20:44,04/17/19 20:44,CDS Violation,Arrest,Centreville at 4243  Valley  Dr
10717,2019-00021965,04/18/19 01:32,04/18/19 01:32,CDS Violation,Arrest,Easton at 3917  Denton Service  Ln
10718,2019-00021969,04/18/19 02:21,04/18/19 02:21,Emergency Petition,CBE,Denton at 3854  Stadium  Dr
10719,2019-00022011,04/17/19 08:00,04/18/19 09:51,Vandalism,Investigation Pending,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
10720,2019-00022044,04/18/19 16:51,04/18/19 16:51,Vandalism,Investigation Pending,7000 block of  Preinkert  Dr
10721,2019-00022050,04/16/19 15:55,04/18/19 17:35,Theft from Auto,Active/Pending,7500 block of  Mowatt  Ln
10722,2019-00022105,04/18/19 23:19,04/18/19 23:19,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
10723,2019-00022116,04/18/19 23:30,04/18/19 23:40,Injured/Sick Person,CBE,"Ritchie, Ritchie Coliseum at 7675  Baltimore  Ave"
10724,2019-00022159,04/19/19 02:54,04/19/19 02:54,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln
10725,2019-00022161,04/19/19 03:10,04/19/19 03:10,DWI/DUI,Arrest,"Starview Plaza, The Enclave at 8700  Baltimore  Ave"
10726,2019-00022197,04/18/19 16:00,04/19/19 08:27,Vandalism,Investigation Pending,4100 block of  Valley  Dr
10727,2019-00022198,04/19/19 09:00,04/19/19 09:00,Vandalism,Active/Pending,"Charles, Charles Hall at 4405  Lehigh  Rd"
10728,2019-00022310,04/19/19 19:33,04/19/19 19:33,Injured/Sick Person,CBE,4600 block of  College  Ave
10729,2019-00022347,04/17/19 16:00,04/19/19 22:36,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
10730,2019-00022365,04/19/19 23:56,04/19/19 23:56,DWI/DUI,Arrest,Baltimore  Ave
10731,2019-00022377,04/20/19 01:50,04/20/19 01:54,Injured/Sick Person,CBE,4400 block of  Knox  Rd
10732,2019-00022381,04/20/19 03:24,04/20/19 03:24,Other Incident,CBE,Queen Anne at 7645  Preinkert  Dr
10733,2019-00022500,04/20/19 21:30,04/20/19 21:34,Injured/Sick Person,CBE,4000 block of  Stadium  Dr
10734,2019-00022548,04/21/19 03:47,04/21/19 03:47,Alarm,Active/Pending,8100 block of  Boteler  Ln
10735,2019-00022550,04/21/19 04:30,04/21/19 05:01,Emergency Petition,CBE,7000 block of  Preinkert  Dr
10736,2019-00022579,04/21/19 14:07,04/21/19 14:07,CDS Violation,Arrest,6900 block of  Preinkert  Dr
10737,2019-00022601,04/19/19 16:30,04/21/19 19:36,Vandalism,Investigation Pending,"Lefrak, Lefrak Hall at 7251  Preinkert  Dr"
10738,2019-00022619,04/22/19 03:06,04/22/19 03:06,Emergency Petition,CBE,4200 block of  Lehigh  Rd
10739,2019-00022735,04/09/19 08:00,04/22/19 15:32,Theft,Arrest,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
10740,2019-00022743,04/15/19 12:00,04/22/19 16:31,Fraud,CBE,"Atlantic Building, Computer & Space Sciences Building at 4254  Stadium  Dr"
10741,2019-00022752,04/16/19 22:00,04/22/19 18:26,Theft,Investigation Pending,3400 block of  Tulane  Dr
10742,2019-00022853,04/23/19 02:38,04/23/19 02:38,DWI/DUI,Arrest,Navahoe  St
10743,2019-00022908,04/23/19,04/23/19 09:16,Vandalism,Arrest,Sigma Delta Tau at 4516  Knox  Rd
10744,2019-00022941,04/23/19 12:36,04/23/19 12:36,Injured/Sick Person,CBE,"Journalism Building, Knight Hall at 7765  Alumni  Dr"
10745,2019-00022945,04/23/19 12:05,04/23/19 12:47,Other Incident,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
10746,2019-00022957,04/23/19 14:20,04/23/19 14:51,Injured/Sick Person,CBE,Animal Science Building at 8127  Regents  Dr
10747,2019-00022959,04/09/19 09:00,04/23/19 15:03,Vandalism,Investigation Pending,"Art Soc, Art Sociology, Art Sociology Building, Art-Sociology Building, Parren J. Mitchell Art-Sociology Building at 3834  Campus  Dr"
10748,2019-00022994,12/01/18 12:00,04/23/19 20:11,Theft,Active/Pending,4000 block of  Stadium  Dr
10749,2019-00022998,04/23/19 21:15,04/23/19 21:24,Trespassing,Arrest,7000 block of  Preinkert  Dr
10750,2019-00023024,04/23/19 23:35,04/23/19 23:35,DWI/DUI,Arrest,Baltimore  Ave
10751,2019-00023032,04/23/19 23:45,04/24/19 00:04,Assault,Arrest,Lot 1d
10752,2019-00023040,04/24/19 00:58,04/24/19 00:58,Alcohol Violation,Arrest,College  Ave
10753,2019-00023050,04/24/19 02:00,04/24/19 02:00,DWI/DUI,Arrest,Baltimore  Ave
10754,2019-00023171,04/24/19 14:36,04/24/19 14:36,Emergency Petition,Arrest,7600 block of  Library  Ln
10755,2019-00023181,04/24/19 13:40,04/24/19 15:54,Theft,Investigation Pending,"Brendan Iribe Center, Iribe Center at 8125  Paint Branch  Dr"
10756,2019-00023195,04/24/19 15:30,04/24/19 18:42,Theft,Active/Pending,7700 block of  Alumni  Dr
10757,2019-00023201,04/24/19 07:00,04/24/19 20:25,Dept Property Damage/Loss,CBE,Liberty Dam Rd
10758,2019-00023207,04/24/19 20:45,04/24/19 21:19,Suspicious Person/Auto,CBE,"Atlantic Building, Computer & Space Sciences Building at 4254  Stadium  Dr"
10759,2019-00023254,04/25/19 00:53,04/25/19 00:53,Warrant/Summons Service,Arrest,4400 block of  Knox  Rd
10760,2019-00023261,04/25/19 02:08,04/25/19 02:08,DWI/DUI,Arrest,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
10761,2019-00023276,04/25/19 03:27,04/25/19 03:27,DWI/DUI,Arrest,"MFRI, MFRI Office/Classroom Building at 4500  Campus  Dr"
10762,2019-00023360,04/18/19,04/25/19 14:26,Fraud,Investigation Pending,3400 block of  Tulane  Dr
10763,2019-00023363,04/25/19 15:00,04/25/19 15:46,Other Incident (Title IX Related),CBE,"Chemistry, Chemistry Building at 8051  Regents  Dr"
10764,2019-00023366,04/25/19 16:27,04/25/19 16:27,Injured/Sick Person,CBE,Prince Frederick at 7030  Preinkert  Dr
10765,2019-00023459,04/26/19 00:42,04/26/19 00:42,Alcohol Violation,Arrest,College  Ave
10766,2019-00023468,04/26/19 01:14,04/26/19 01:14,DWI/DUI,Arrest,Baltimore  Ave
10767,2019-00023484,04/26/19 01:42,04/26/19 01:42,Assist Other Agency,CBE,"7-11 Varsity, 7-Eleven Varsity at 8150  Baltimore  Ave"
10768,2019-00023485,04/26/19 01:47,04/26/19 01:47,CDS Violation,Arrest,"7-11 Varsity, 7-Eleven Varsity at 8150  Baltimore  Ave"
10769,2019-00023487,04/26/19 02:23,04/26/19 02:23,DWI/DUI,Arrest,Baltimore  Ave
10770,2019-00023490,04/26/19 03:16,04/26/19 03:16,DWI/DUI,Arrest,Baltimore  Ave
10771,2019-00023571,04/26/19 12:30,04/26/19 14:14,Theft,Investigation Pending,"Hornbake, Hornbake Library at 4130  Campus  Dr"
10772,2019-00023597,04/23/19 19:30,04/26/19 16:26,Fraud,Active/Pending,3900 block of  Campus  Dr
10773,2019-00023693,04/27/19 00:10,04/27/19 00:10,Injured/Sick Person,CBE,Prince Frederick at 7030  Preinkert  Dr
10774,2019-00023702,04/27/19 01:01,04/27/19 01:01,DWI/DUI,Arrest,Baltimore  Ave
10775,2019-00023751,04/27/19 07:28,04/27/19 07:28,Damage to State Property,Active/Pending,Kim Engineering Building at 8228  Paint Branch  Dr
10776,2019-00023846,04/27/19 15:12,04/27/19 15:28,Trespassing,Arrest,Lot GG1
10777,2019-00023864,04/27/19 16:22,04/27/19 16:22,CDS Violation,Arrest,"Marie Mount, Marie Mount Hall at 7814  Regents  Dr"
10778,2019-00023875,04/26/19 14:30,04/27/19 17:53,Burglary,Investigation Pending,4000 block of  Stadium  Dr
10779,2019-00023923,04/28/19 00:14,04/28/19 00:14,Injured/Sick Person,CBE,"Brendan Iribe Center, Iribe Center at 8125  Paint Branch  Dr"
10780,2019-00023926,04/28/19 01:44,04/28/19 01:44,Injured/Sick Person,CBE,8100 block of  Rhode Island  Ave
10781,2019-00023928,04/28/19 02:06,04/28/19 02:06,Injured/Sick Person,CBE,4400 block of  Knox  Rd
10782,2019-00023932,04/28/19 03:09,04/28/19 03:09,Assist Other Agency,CBE,Cornerstone at 7325  Baltimore  Ave
10783,2019-00023933,04/28/19 03:10,04/28/19 03:29,Assist Other Agency (Title IX Related),CBE,4300 block of  Knox  Rd
10784,2019-00023935,04/28/19 04:17,04/28/19 04:17,Warrant/Summons Service,Arrest,Pocomoke at 7569  Baltimore  Ave
10785,2019-00023991,04/28/19 13:17,04/28/19 13:17,Injured/Sick Person,CBE,Varsity Sports Teamhouse at 4117  Stadium  Dr
10786,2019-00024018,04/28/19 15:37,04/28/19 15:37,Injured/Sick Person,CBE,Ellicott at 4052  Stadium  Dr
10787,2019-00024023,04/28/19 16:16,04/28/19 16:16,Stolen Motor Vehicle,Juvenile Arrest,Varsity Sports Teamhouse at 4117  Stadium  Dr
10788,2019-00024026,04/28/19 18:45,04/28/19 18:45,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
10789,2019-00024039,04/28/19 23:09,04/28/19 23:09,Injured/Sick Person,CBE,4100 block of  Farm  Dr
10790,2019-00024089,04/29/19 05:44,04/29/19 05:44,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500  Paint Branch  Dr"
10791,2019-00024107,04/28/19 17:00,04/29/19 10:02,Theft,Active/Pending,7500 block of  Calvert Service  Ln
10792,2019-00024130,04/29/19 14:22,04/29/19 14:22,Injured/Sick Person,CBE,"John S. Toll Physics Building, Physics, Physics Building at 4150  Campus  Dr"
10793,2019-00024149,04/29/19 15:00,04/29/19 18:30,Stolen Motor Vehicle,Investigation Pending,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
10794,2019-00024176,04/29/19 23:13,04/29/19 23:13,Emergency Petition,CBE,8500 block of  Boteler  Ln
10795,2019-00024260,04/30/19 07:51,04/30/19 07:51,Injured/Sick Person,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
10796,2019-00024267,04/30/19 08:42,04/30/19 08:42,Other Incident,CBE,340 block of  Ehrensberger  Dr
10797,2019-00024269,04/30/19 08:30,04/30/19 08:51,Injured/Sick Person,CBE,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028  Stadium  Dr"
10798,2019-00024310,04/27/19 14:24,04/30/19 13:38,Fraud,Investigation Pending,4200 block of  Lehigh  Rd
10799,2019-00024317,04/29/19 20:15,04/30/19 14:09,Telephone/EMail Misuse (Title IX Related),Active/Pending,7500 block of  Calvert Service  Ln
10800,2019-00024321,04/26/19 16:00,04/30/19 14:35,Suspicious Activity,CBE,4700 block of  Pontiac  St
10801,2019-00024325,04/30/19 14:55,04/30/19 15:05,Stolen Motor Vehicle,Investigation Pending,Lot A
10802,2019-00024346,04/30/19 10:00,04/30/19 16:33,Stolen Motor Vehicle,Summons Issued,7500 block of  Mowatt  Ln
10803,2019-00024357,04/29/19 18:31,04/30/19 17:20,Fraud,Arrest,340 block of  Ehrensberger  Dr
10804,2019-00024382,04/30/19 22:05,04/30/19 22:05,CDS Violation,Arrest,Easton at 3917  Denton Service  Ln
10805,2019-00024402,04/29/19 10:00,04/30/19 23:14,Theft,Investigation Pending,4300 block of  Knox  Rd
10806,2019-00024403,04/30/19 23:31,04/30/19 23:31,Harassment/Stalking,CBE,7600 block of  Library  Ln
10807,2019-00024420,05/01/19 01:52,05/01/19 01:52,DWI/DUI,Arrest,Baltimore  Ave
10808,2019-00024490,05/01/19 10:57,05/01/19 10:57,Fire,CBE,4400 block of  Stadium  Dr
10809,2019-00024491,05/01/19 12:33,05/01/19 12:33,False Report/Statement,Active/Pending,3900 block of  Campus  Dr
10810,2019-00024493,04/30/19 12:30,05/01/19 13:42,Vandalism,Investigation Pending,"Calvert, Calvert Hall at 7551  Calvert Service  Ln"
10811,2019-00024496,05/01/19 15:06,05/01/19 15:06,Injured/Sick Person,CBE,Artemesia Building at 8400  Baltimore  Ave
10812,2019-00024650,05/02/19 03:08,05/02/19 03:08,Injured/Sick Person,CBE,Denton at 3854  Stadium  Dr
10813,2019-00024654,05/02/19 03:27,05/02/19 03:27,DWI/DUI,Arrest,Baltimore  Ave
10814,2019-00024727,04/13/19 14:00,05/02/19 10:35,Theft,CBE,3400 block of  Tulane  Dr
10815,2019-00024760,05/01/19 22:00,05/02/19 15:27,Stolen Motor Vehicle,Investigation Pending,4  Fraternity  Row
10816,2019-00024765,05/02/19 15:45,05/02/19 16:11,Damage to State Property,CBE,"Marie Mount, Marie Mount Hall at 7814  Regents  Dr"
10817,2019-00024793,04/28/19 22:00,05/02/19 19:07,Stolen Motor Vehicle,Investigation Pending,"Patuxent, Patuxent Building, Telecommunications at 4161  Fieldhouse  Dr"
10818,2019-00024801,05/02/19 08:30,05/02/19 20:26,Theft,Investigation Pending,7000 block of  Preinkert  Dr
10819,2019-00024871,05/03/19 01:32,05/03/19 01:32,Alcohol Violation,Arrest,College  Ave
10820,2019-00024874,05/03/19 01:45,05/03/19 01:51,Alcohol Violation,Arrest,4500 block of  College  Ave
10821,2019-00024896,05/03/19 03:25,05/03/19 03:25,Stolen Motor Vehicle,Arrest,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
10822,2019-00024926,05/03/19 08:03,05/03/19 08:03,Check on the  Welfare,CBE,"Bel Air, Bel Air Hall at 4213  Valley  Dr"
10823,2019-00024952,05/02/19 11:30,05/03/19 11:07,Theft,Active/Pending,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
10824,2019-00024967,05/01/19 10:00,05/03/19 13:17,Stolen Motor Vehicle,Investigation Pending,"Lefrak, Lefrak Hall at 7251  Preinkert  Dr"
10825,2019-00025055,05/03/19 20:16,05/03/19 20:16,Injured/Sick Person,CBE,"Lee Building, South Administration at 7809  Regents  Dr"
10826,2019-00025056,05/03/19 21:00,05/03/19 21:10,Vandalism,Arrest,"Kehoe Track, Kehoe Track at Ludwig Field, Ludwig Field at 7898  Championship  Ln"
10827,2019-00025073,05/03/19 23:41,05/03/19 23:41,CDS Violation,Arrest,Baltimore  Ave
10828,2019-00025087,05/04/19 00:45,05/04/19 00:56,Assist Other Agency,CBE,"A.V. Williams Building, AV Williams at 8223  Paint Branch  Dr"
10829,2019-00025093,05/04/19 02:52,05/04/19 02:52,CDS Violation,Arrest,7500 block of  Mowatt  Ln
10830,2019-00025096,05/04/19 03:20,05/04/19 03:20,DWI/DUI,Arrest,Campus  Dr
10831,2019-00025163,05/04/19 11:50,05/04/19 11:50,Recovered Stolen Property,CBE,West Gate at 3841  Stadium  Dr
10832,2019-00025164,05/04/19 12:00,05/04/19 12:00,Theft,Arrest,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
10833,2019-00025259,05/05/19 00:15,05/05/19 00:15,Disorderly Conduct,Arrest,4400 block of  Knox  Rd
10834,2019-00025263,05/05/19 00:40,05/05/19 00:40,Burglary,Arrest,Rossborough  Ln
10835,2019-00025265,05/05/19 01:16,05/05/19 01:16,Injured/Sick Person,CBE,6900 block of  Preinkert  Dr
10836,2019-00025268,05/05/19 04:19,05/05/19 04:20,Assist Other Agency (Title IX Related),CBE,"7-11 Varsity, 7-Eleven Varsity at 8150  Baltimore  Ave"
10837,2019-00025269,05/04/19 22:00,05/05/19 04:48,Assist Other Agency,CBE,8200 block of  Baltimore  Ave
10838,2019-00025297,05/05/19 12:30,05/05/19 12:39,Assault,Arrest,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
10839,2019-00025394,05/06/19 00:49,05/06/19 00:49,CDS Violation,Arrest,Lehigh  Rd
10840,2019-00025453,05/05/19 12:24,05/06/19 12:24,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln
10841,2019-00025467,05/06/19 14:34,05/06/19 14:34,CDS Violation,Arrest,4100 block of  Valley  Dr
10842,2019-00025473,05/06/19 14:20,05/06/19 15:24,Damage to State Property,CBE,JM Patterson at 4356  Stadium  Dr
10843,2019-00025547,05/06/19 22:53,05/06/19 22:53,CDS Violation,Arrest,Lot SS2
10844,2019-00025583,05/07/19 00:13,05/07/19 00:13,CDS Violation,Arrest,Baltimore  Ave
10845,2019-00025587,05/07/19 00:36,05/07/19 00:36,DWI/DUI,Arrest,Baltimore  Ave
10846,2019-00025588,05/07/19 00:41,05/07/19 00:41,DWI/DUI,Arrest,"MFRI, MFRI Office/Classroom Building at 4500  Campus  Dr"
10847,2019-00025589,05/07/19 00:59,05/07/19 00:59,Other Incident,CBE,Caroline Hall at 7154  Preinkert  Dr
10848,2019-00025649,05/02/19 09:00,05/07/19 08:57,Theft,Active/Pending,Martin Hall at 4298  Campus  Dr
10849,2019-00025668,04/25/19 11:00,05/07/19 09:57,Dept Property Damage/Loss,CBE,1900 block of  North Federal Hwy
10850,2019-00025713,04/25/19 16:12,05/07/19 12:50,Hate Bias Incident,Investigation Pending,7600 block of  Baltimore  Ave
10851,2019-00025721,04/26/19 08:00,05/07/19 13:45,Theft,Active/Pending,Lot 11b
10852,2019-00025734,05/07/19 15:02,05/07/19 15:02,Assist Other Agency,CBE,8300 block of  Baltimore  Ave
10853,2019-00025763,05/07/19 18:12,05/07/19 18:12,Emergency Petition,CBE,4300 block of  Knox  Rd
10854,2019-00025768,05/07/19 18:49,05/07/19 18:49,Injured/Sick Person,CBE,6800 block of  Preinkert  Dr
10855,2019-00025806,05/07/19 22:31,05/07/19 22:31,CDS Violation,Arrest,"Annapolis, Annapolis Hall at 7626  Regents  Dr"
10856,2019-00025831,05/08/19 00:06,05/08/19 00:06,CDS Violation,Arrest,Lot SS2
10857,2019-00025880,05/08/19 01:24,05/08/19 01:24,DWI/DUI,Arrest,Baltimore  Ave
10858,2019-00025889,05/08/19 01:38,05/08/19 01:38,CDS Violation,Arrest,Baltimore  Ave
10859,2019-00025895,05/08/19 03:26,05/08/19 03:26,Injured/Sick Person,CBE,"Ritchie, Ritchie Coliseum at 7675  Baltimore  Ave"
10860,2019-00025918,05/05/19 21:30,05/08/19 07:19,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
10861,2019-00025919,05/07/19 21:00,05/08/19 07:26,Vandalism,Investigation Pending,8100 block of  Boteler  Ln
10862,2019-00025950,05/07/19 19:30,05/08/19 11:56,Theft,Active/Pending,Martin Hall at 4298  Campus  Dr
10863,2019-00025973,04/13/19 10:30,05/08/19 15:15,Theft,Investigation Pending,4000 block of  Fieldhouse  Dr
10864,2019-00025983,02/15/19 16:33,05/08/19 16:50,Theft,Active/Pending,7600 block of  Library  Ln
10865,2019-00025999,05/08/19 15:30,05/08/19 19:09,Suspicious Person/Auto,Active/Pending,"Journalism Building, Knight Hall at 7765  Alumni  Dr"
10866,2019-00026018,05/08/19 12:30,05/08/19 21:59,Theft,Unfounded,7000 block of  Preinkert  Dr
10867,2019-00026039,05/08/19 22:47,05/08/19 22:47,CDS Violation,Arrest,Lot 11b
10868,2019-00026065,05/09/19 00:08,05/09/19 00:08,CDS Violation,Arrest,Pocomoke at 7569  Baltimore  Ave
10869,2019-00026092,05/09/19 01:40,05/09/19 01:40,DWI/DUI,Arrest,Baltimore  Ave
10870,2019-00026095,05/09/19 01:56,05/09/19 01:56,DWI/DUI,Arrest,9000 block of  Baltimore  Ave
10871,2019-00026098,05/09/19 02:28,05/09/19 02:28,Injured/Sick Person,CBE,"Satellite Central Utilities Building, SCUB 1 at 4404  Lehigh  Rd"
10872,2019-00026179,05/09/19 12:00,05/09/19 12:51,Injured/Sick Person,CBE,4000 block of  Campus  Dr
10873,2019-00026255,05/09/19 19:18,05/09/19 19:18,Injured/Sick Person,CBE,5  Fraternity  Row
10874,2019-00026278,05/09/19 22:27,05/09/19 22:27,Alcohol Violation,Arrest,College  Ave
10875,2019-00026279,05/09/19 22:31,05/09/19 22:31,Alcohol Violation,Arrest,Hopkins  Ave
10876,2019-00026302,05/09/19 23:28,05/09/19 23:28,CDS Violation,Arrest,Easton at 3917  Denton Service  Ln
10877,2019-00026309,05/09/19 23:51,05/09/19 23:51,CDS Violation,Arrest,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
10878,2019-00026330,05/10/19 00:44,05/10/19 00:44,Alcohol Violation,Arrest,Hopkins  Ave
10879,2019-00026332,05/10/19 00:49,05/10/19 00:49,DWI/DUI,CBE,Baltimore  Ave
10880,2019-00026333,05/10/19 00:54,05/10/19 00:54,Alcohol Violation,Arrest,College  Ave
10881,2019-00026335,05/10/19 01:07,05/10/19 01:07,Injured/Sick Person,CBE,Pocomoke at 7569  Baltimore  Ave
10882,2019-00026336,05/10/19 01:03,05/10/19 01:03,Check on the  Welfare,CBE,Ellicott at 4052  Stadium  Dr
10883,2019-00026340,05/10/19 01:44,05/10/19 01:44,Recovered Stolen Motor Vehicle,CBE,Norwich  Rd
10884,2019-00026341,05/10/19 01:49,05/10/19 01:49,Alcohol Violation,Arrest,Norwich  Rd
